default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
001,6000199,London Chingford Salisbury Hall Gardens - Generic,LONDON CHINGFORD,72708,34371
002,6000299,Bradford Bankfoot Mayo Avenue - Generic,BRADFORD MAYO AVENUE,78541,37778
003,6000399,Bradford Idle Enterprise 5 - Generic,BRADFORD ENTERPRISE 5,115377,54779
004,6000499,Bradford Girlington Victoria SC - Generic,BRADFORD VICTORIA,105434,49184
005,6000599,Keighley Worth Way - Generic,KEIGHLEY,85218,37919
006,6000699,Bradford Westgate - Generic,BRADFORD WESTGATE,29699,14283
007,6000799,Yeadon High Street - Generic,LEEDS YEADON,65724,29477
008,6000899,Bradford Thornbury Rushton Avenue - Generic,BRADFORD THORNBURY,81225,39833
010,6001099,Leeds Merrion Centre Woodhouse Lane - Generic,LEEDS MERRION CENTRE,49088,28934
011,6001199,Morley Windsor Court - Generic,LEEDS MORLEY,78693,33172
014,6001499,Beverley Wingfield Way - Generic,BEVERLEY,73998,35482
015,6001599,Leeds Hunslet Church Street - Generic,LEEDS HUNSLET,79094,37620
017,6001799,Leeds Horsforth Town Street - Generic,LEEDS HORSFORTH,73471,23982
019,6001999,Widnes Green Oaks Way - Generic,WIDNES GREEN OAKS,82700,38855
021,6002199,St Helens Baxters Lane - Generic,ST. HELENS BAXTER LANE,72313,36405
022,6002299,Failsworth Poplar Street - Generic,FAILSWORTH POPLAR STREET,75852,37125
023,6002399,Mansfield Sutton Rd - Generic,MANSFIELD SUTTON ROAD,79837,38848
024,6002499,Wolverhampton Bilston Black Country Route - Generic,WOLVERHAMPTON BILSTON,80236,38234
025,6002599,Ince in Makerfield Makerfield Way - Generic,INCE IN MAKERFIELD WAY,74716,37727
026,6002699,Darlington North Rd - Generic,DARLINGTON NORTH ROAD,79203,41590
027,6002799,Staveley Barnfield Close - Generic,CHESTERFIELD STAVELEY,73998,36711
028,6002899,Eccles Irwell Place - Generic,ECCLES IRWELL PLACE,60081,30443
029,6002999,Rotherham Catcliffe Poplar Way - Generic,ROTHERHAM CATCLIFFE,77931,38955
030,6003099,Grantham Isaac Newton Centre - Generic,GRANTHAM ISAAC NEWTON CENTRE,62600,34163
031,6003199,Gainsborough Heapham Rd - Generic,GAINSBOROUGH HEAPHAM ROAD,59428,26950
032,6003299,Heywood Dawson Street - Generic,HEYWOOD DAWSON STREET,70775,32147
033,6003399,Wakefield Dewsbury Rd - Generic,WAKEFIELD DEWSBURY ROAD,72400,33797
034,6003499,Wakefield Ridings Centre - Generic,WAKEFIELD RIDINGS CENTRE,47543,22245
035,6003599,Newcastle UT Killingworth - Generic,NEWCASTLE U T KILLINGWORTH,82959,40303
036,6003699,Guiseley Otley Rd - Generic,LEEDS GUISELEY,71287,34618
037,6003799,Dukinfield Foundry Street - Generic,DUKINFIELD FOUNDRY STREET,80668,37094
038,6003899,Blackburn Railway Rd - Generic,BLACKBURN RAILWAY ROAD,111622,41629
039,6003999,Rotherham Bramley Bawtry Rd - Generic,ROTHERHAM BRAMLEY,86725,38164
040,6004099,Bishop Auckland Bob Hardisty Drive - Generic,BISHOP AUCKLAND,77598,36604
041,6004199,Preston Riversway Mariners Way - Generic,PRESTON RIVERSWAY,79824,43559
042,6004299,Heckmondwike Union Street - Generic,HECKMONDWIKE UNION STREET,72775,37445
043,6004399,Wigan The Galleries - Generic,WIGAN GALLERIES,39834,15900
044,6004499,Carlisle Kingstown Rd - Generic,CARLISLE KINGSTOWN ROAD,87584,45094
045,6004599,Bolton Dawes Blackhorse Street - Generic,BOLTON DAWES STREET,72376,34996
046,6004699,Stamford Uffington Rd - Generic,STAMFORD UFFINGTON ROAD,85599,41602
047,6004799,Sunderland Seaburn Whitburn Rd - Generic,SUNDERLAND SEABURN,78144,37995
048,6004899,Newark Kings Rd - Generic,NEWARK KINGS ROAD,71287,34111
049,6004999,Telford Wellington Spring Hill - Generic,TELFORD WELLINGTON,81350,37779
050,6005099,Stoke Ridgeway Drive - Generic,STOKE FESTIVAL PARK,89109,43895
051,6005199,Pontefract Stuart Rd - Generic,PONTEFRACT STUART ROAD,86091,32651
052,6005299,Sheffield Hillsborough Penistone Rd - Generic,SHEFFIELD HILLSBOROUGH,110212,55208
053,6005399,Rochdale Kingsway - Generic,ROCHDALE KINGSWAY,78459,39439
